Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
Discover Milan / Virtual Visit & Trivia,5,5,Milano,Italy,75, English,12,100,64
A Walk Among 1200 Sacred Statues in Kyoto,4.97,330,Kyoto,Japan,90, English,19,100,92
Draw Yourself with a Berlin-based Artist,4.97,31,Berlin,Germany,90, English,19,30,88
Make a Traditional Mexican Piñata,5,29,Mexico City,Mexico,25, Spanish and English,31,10,308
Having a great time in Cusco,5,7,Cusco,Peru,60, English,11,15,77
Fun exciting Art and Drum Meditation,4.83,6,Nairobi,Kenya,60, English,16,10,25
Medellin: From violence to innovation,4.96,196,Medellin,Colombia,90, Spanish and English,19,30,133
Live Interactive Tour Riverside Secrets,,,Lisboa,Portugal,180, English Spanish and Portuguese,18,30,175
Fun Hour with Taj Mahal - Symbol of Love - Musical Quiz Tour,4.96,110,Delhi,India,60, English,10,30,134
Singapore City Live Virtual Walking Tour,5,11,Singapore,Singapore,60, English,26,30,38
Heartland Living in Crazy Rich Singapore,5,1,Singapore,Singapore,60, English,12,8,38
Traditional Indian Rug Weaving Workshop,4.95,19,Jodhpur,India,75, English,3,30,27
Paint Like Bob Ross,5,6,Ottawa,Canada,120, English,37,30,122
The Barcelona Espadrilles Workshop,4.99,371,Barcelona,Spain,60, English,111,500,581
Hearst & Hollywood at Hearst Castle,5,15,San Simeon,United States,75, English,16,30,200
"Tokyo Online Tour All in One! For happy hour event, or preparation for the trip!",4.94,635,Taito city,Japan,60, English,16,100,44
Personal or Couples Handwriting Analysis,5,6,Greater London,United Kingdom,60, English,81,,
Explore Creative and Wild Writing / Halloween Edition,4.88,8,Cali,Colombia,75, English and Spanish,12,20,80
Create Mexican Stories with Art,4.97,225,Mexico City,Mexico,60, English and Spanish,12,30,42
Try Drawing Manga Illustration w/pro,5,36,Osaka City,Japan,60, English and Japanese,19,20,37
Istanbul Street Grafiti Art Virtual Walk,4.88,24,Istanbul,Turkey,60, English,8,30,134
Paint cats and dogs with a lot of good humor,5,2,Napoli,Italy,90, Italian and English,18,30,82
Photography Composition w/ Lisbon images,4.91,11,Lisbon,Portugal,90, English,24,10,209
Travel Journal with Watercolor,4.85,52,Fresno,United States,120, English,23,30,18
Discover Chechnya and its unique culture,4.93,29,Chechnya,Russian,60, English,15,10,85
Discover Sicily and its street food,4.94,68,Celafu,Italy,90, English Spanish French and Italian,14,100,70
An In-depth virtual tour of Shanghai,5,2,Shanghai,China,60, English,16,30,280
